city_name,latitude,longitude
Drezdenko,52.8398486,15.8318163
Dobiegniew,52.9667749,15.7548055
Strzelce Krajeńskie,52.8785785,15.5326861
Sulęcin,52.4413768,15.1161501
Torzym,52.3138586,15.0828279
Lubniewice,52.5119594,15.2441003
Świebodzin,52.2498357,15.5324973
Zbąszynek,52.2436262,15.8138946
Nowogród Bobrzański,51.7986474,15.2365032
Babimost,52.165312,15.8285175
Sulechów,52.0854782,15.6259091
Czerwieńsk,52.0130585,15.4211463
Kargowa,52.0719225,15.8648044
Małomice,51.5550002,15.4472908
Szprotawa,51.5650714,15.5367584
Żagań,51.6148068,15.3203721
Iłowa,51.5006828,15.1984599
Gozdnica,51.4533841,15.08156713812879
Brody,51.7867086,14.7743044
Łęknica,51.54731655,14.754084214502885
Jasień,51.7515442,15.0123351
Żary,51.6385162,15.1422487
Lubsko,51.7881902,14.9721266
Sława,51.8807001,16.0702499
Szlichtyngowa,51.7140748,16.2445989
Wschowa,51.8038354,16.3172771
Gorzów Wielkopolski,52.7309926,15.2400451
Zielona Góra,51.9383777,15.5050408
Bełchatów,51.354704600000005,19.376919902970144
Zelów,51.4650276,19.2195805
Żychlin,52.2440088,19.6260932
Kutno,52.2317559,19.3570182
Krośniewice,52.2560639,19.1689326
Dąbrowice,52.3156388,19.08451
Łask,51.5929947,19.1334784
Łęczyca,52.054506200000006,19.198290402458163
Piątek,52.0689883,19.4799726
Grabów,52.12736,19.00855
Łowicz,52.107683,19.9447873
Kiernozia,52.2687653,19.8710998
Tuszyn,51.60565655,19.543815697033963
Rzgów,51.6627785,19.4908887
Koluszki,51.7444956,19.817966
Drzewica,51.4508384,20.4773617
Opoczno,51.3782439,20.2931754
Żarnów,51.2479931,20.1720504
Białaczów,51.298466,20.2949544
Pabianice,51.6639859,19.3535024
Konstantynów Łódzki,51.75721335,19.308241169771144
Lutomiersk,51.7550121,19.2120994
Pajęczno,51.1468824,18.9956984
Działoszyn,51.1167859,18.8651624
Sulejów,51.3549202,19.8890802
Wolbórz,51.5036311,19.830319
Rozprza,51.3017158,19.6447455
Poddębice,51.8926555,18.9518908
Uniejów,51.9741302,18.793245
Radomsko,51.071061,19.44984640627979
Przedbórz,51.0868077,19.8744414
Kamieńsk,51.204172,19.4970714
Rawa Mazowiecka,51.7624929,20.2519293
Biała Rawska,51.8075978,20.4720942
Błaszki,51.6525206,18.4333114
Złoczew,51.4180515,18.6060256
Warta,51.35002348207221,18.812778646378593
Sieradz,51.6017529,18.739901469268844
Bolimów,52.0762415,20.163478
Tomaszów Mazowiecki,51.5194865,20.033754059009127
Inowłódz,51.5236969,20.2228852
Wieluń,51.2204544,18.5700965
Osjaków,51.2888829,18.7912573
Wieruszów,51.2951647,18.1510623
Lututów,51.3712494,18.4346007
Zduńska Wola,51.6028615,18.9333201
Szadek,51.69175,18.97703
Głowno,51.96239825,19.71166242050556
Aleksandrów Łódzki,51.8196533,19.3035375
Stryków,51.9009447,19.6036969
Ozorków,51.9587654,19.289306361024188
Zgierz,51.8555209,19.390634827153598
Parzęczew,51.94893,19.20716
Brzeziny,51.80066075,19.74462059147693
Jeżów,51.813452,19.9687952
Łódź,51.7728245,19.47848567915817
Piotrków Trybunalski,51.412853999999996,19.6886837487098
Skierniewice,51.95800675,20.144808531076123
Nowy Wiśnicz,49.9152667,20.4621677
Bochnia,49.9693563,20.430541
Brzesko,49.9678396,20.6068496
Czchów,49.8339446,20.6731487
Libiąż,50.1030516,19.3147486
Chrzanów,50.1411926,19.4028502
Alwernia,50.0690434,19.5396737
Trzebinia,50.1597686,19.4709097
Szczucin,50.3090256,21.075161
Dąbrowa Tarnowska,50.1743495,20.9850707
Bobowa,49.7130028,20.9576054
Gorlice,49.65829,21.1593832
Biecz,49.7305351,21.249421
Skała,50.2303769,19.853537
Świątniki Górne,49.9346365,19.9524965
Słomniki,50.2403739,20.0811369
Krzeszowice,50.1350246,19.6320164
Skawina,49.9747508,19.8265702
Mszana Dolna,49.6779756,20.0820073
Limanowa,49.7149918,20.423074222125905
Książ Wielki,50.4429446,20.1399453
Miechów,50.3566016,20.0276912
Sułkowice,49.8408265,19.8012137
Myślenice,49.834608,19.9384283
Dobczyce,49.8803432,20.0905415
Krynica-Zdrój,49.4206138,20.9594176
Stary Sącz,49.5640376,20.6366038
Piwniczna-Zdrój,49.4406462,20.7142303
Muszyna,49.3561684,20.8967477
Grybów,49.6250919,20.9446455
Czarny Dunajec,49.440493,19.8535612
Szczawnica,49.4266299,20.4761439
Rabka-Zdrój,49.6076663,19.9622575
Nowy Targ,49.4818229,20.030541
Olkusz,50.2788158,19.5596307
Bukowno,50.2669741,19.4613822
Wolbrom,50.3848386,19.7598844
Oświęcim,50.0336707,19.260079835793633
Kęty,49.8817723,19.2302036
Zator,49.9963053,19.4376782
Chełmek,50.1003348,19.2542585
Brzeszcze,49.9819014,19.1528065
Koszyce,50.1669806,20.5756459
Nowe Brzesko,50.1322823,20.3767203
Proszowice,50.1926479,20.2917555
Sucha Beskidzka,49.74079,19.5905975
Jordanów,49.6489124,19.838349152909842
Maków Podhalański,49.7298971,19.6768803
Ryglice,49.8783327,21.1380371
Zakliczyn,49.8564352,20.8086652
Wojnicz,49.9573496,20.8364048
Radłów,50.0830887,20.8476617
Żabno,50.1335155,20.8859257
Tuchów,49.895219,21.0538362
Ciężkowice,49.786464,20.9737542
Zakopane,49.2757934,19.969281065702543
Andrychów,49.8555791,19.3436756
Wadowice,49.8834484,19.4925345
Kalwaria Zebrzydowska,49.8669482,19.6763089
Niepołomice,50.0331163,20.2171599
Wieliczka,49.9823773,20.0602114
Kraków,50.0469432,19.997153435836697
Nowy Sącz,49.6249173,20.691346
Tarnów,50.0123784,20.9880739
Białobrzegi,50.7729192,23.1507229
Wyśmierzyce,51.6251076,20.8119331
Ciechanów,52.871204399999996,20.606245921754713
Glinojeck,52.819174,20.2862655
Żelechów,51.8096724,21.895505
Pilawa,51.9595452,21.5271524
Garwolin,51.8958048,21.621064749998972
Łaskarzew,51.785526149999995,21.60246906216035
Maciejowice,51.692631,21.5531323
Sanniki,52.33089,19.86693
Gostynin,52.4287607,19.4612956
Grodzisk Mazowiecki,52.1066223,20.6313441
Milanówek,52.1261593,20.6640587
Podkowa Leśna,52.11133195,20.761094532750263
Warka,51.7850969,21.1833835
Mogielnica,51.6929526,20.723371
Grójec,51.8655126,20.8675017
Nowe Miasto nad Pilicą,51.616692,20.5796171
Magnuszew,51.7624237,21.3828034
Głowaczów,51.6231797,21.3177054
Kozienice,51.5849678,21.549883
Legionowo,52.3952285,20.9308309
Serock,52.5135193,21.0731162
Lipsko,51.158513,21.6490099
Sienno,51.08498,21.4734506
Solec nad Wisłą,51.1349963,21.765376
Ciepielów,51.2482289,21.5741193
Łosice,52.2115134,22.717294
Maków Mazowiecki,52.865678,21.101224
Różan,52.8892595,21.399349
Mińsk Mazowiecki,52.17959585,21.56945595388331
Kałuszyn,52.2087832,21.811881
Halinów,52.2258575,21.3529522
Mrozy,52.1655506,21.8001682
Cegłów,52.1470172,21.7381713
Siennica,52.0915526,21.6193996
Sulejówek,52.244349,21.278248172670274
Latowicz,52.0262727,21.8075415
Dobre,52.32171,21.67852
Mława,53.1116182,20.3831732
Zakroczym,52.4333534,20.6116771
Nasielsk,52.5867531,20.8130115
Nowy Dwór Mazowiecki,52.434175749999994,20.706110418137545
Myszyniec,53.3831962,21.3420723
Ostrów Mazowiecka,52.8000429,21.897638
Brok,52.6989287,21.8601815
Józefów,50.4808298,23.0540591
Otwock,52.1161661,21.29345896133107
Karczew,52.0782795,21.2508068
Osieck,51.9662,21.41875
Konstancin-Jeziorna,52.0834787,21.1208073
Góra Kalwaria,51.9843765,21.2140226
Piaseczno,52.0747377,21.0270885
Tarczyn,51.9802935,20.8339613
Gąbin,52.39942,19.73072
Wyszogród,52.3883717,20.1913084
Bodzanów,52.5008478,20.0299052
Drobin,52.7377981,19.9893151
Płońsk,52.6264016,20.364281234776783
Raciąż,52.7828553,20.119672714927916
Nowe Miasto,52.6563159,20.6307362
Czerwińsk nad Wisłą,52.3940182,20.3123715
Sochocin,52.6898865,20.4707992
Brwinów,52.1425551,20.7170701
Piastów,52.1812559,20.8415937
Pruszków,52.171958950000004,20.802982691260024
Chorzele,53.2610476,20.8978631
Przasnysz,53.0190219,20.8804028
Przysucha,51.3585043,20.6285468
Odrzywół,51.5193078,20.555818
Gielniów,51.3997224,20.4762225
Pułtusk,52.7051109,21.0840274
Iłża,51.1624174,21.2374622
Pionki,51.4730031,21.4438404
Skaryszew,51.3105682,21.2523856
Jedlnia-Letnisko,51.4303531,21.3292505
Przytyk,51.4668994,20.9055732
Mordy,52.2112989,22.5170678
Sierpc,52.853176950000005,19.66141404554825
Sochaczew,52.2296562,20.2379379
Sokołów Podlaski,52.4081717,22.2525679
Kosów Lacki,52.5960805,22.1471764
Szydłowiec,51.2238922,20.8575141
Jastrząb,51.2468739,20.9488245
Błonie,52.1946065,20.6169694
Łomianki,52.3355273,20.895012
Ożarów Mazowiecki,52.2080548,20.7941606
Łochów,52.53042,21.68528
Węgrów,52.3989231,22.0174472
Wołomin,52.3468689,21.2420179
Zielonka,52.29133185,21.260566162275364
Tłuszcz,52.4301697,21.4355074
Ząbki,52.29233345,21.114699883572584
Marki,52.336375200000006,21.120778759940738
Kobyłka,52.33997115,21.19054415345282
Radzymin,52.4176347,21.1807836
Jadów,52.4783475,21.6326228
Wyszków,52.5928035,21.4584581
Zwoleń,51.3564745,21.5844652
Kazanów,51.2750127,21.4676696
Żuromin,53.0671703,19.9078353
Bieżuń,52.9617996,19.8899936
Lubowidz,53.1216748,19.8407986
Żyrardów,52.05553205,20.44464353021984
Mszczonów,51.9740309,20.5126683
Wiskitki,52.0868993,20.3832461
Ostrołęka,53.0843135,21.5668607
Płock,52.535347099999996,19.713630138580008
Radom,51.41716055,21.160944780832743
Siedlce,52.161593800000006,22.281253302988254
Warszawa,52.2337172,21.071432235636493
Brzeg,50.8588648,17.464124493778538
Grodków,50.698157,17.3849804
Lewin Brzeski,50.7487107,17.616648
Kietrz,50.0796271,18.0021082
Baborów,50.1563566,17.9859393
Głubczyce,50.2001072,17.8301977
Kędzierzyn-Koźle,50.3448836,18.2109594
Byczyna,51.1142355,18.2143288
Kluczbork,50.9730701,18.2140089
Wołczyn,51.0190253,18.049603
Strzeleczki,50.4594894,17.854778
Gogolin,50.4925107,18.0176197
Krapkowice,50.4747406,17.9670987
Zdzieszowice,50.4202928,18.1193187
Namysłów,51.0766258,17.7185619
Korfantów,50.4879782,17.5984184
Głuchołazy,50.3170828,17.3833809
Nysa,50.4738029,17.3324733
Paczków,50.4642876,17.0063856
Otmuchów,50.465351,17.1730499
Dobrodzień,50.7288597,18.444336
Praszka,51.05536,18.4485221
Olesno,50.8766575,18.4219452
Gorzów Śląski,51.0281551,18.4222682
Prószków,50.5786696,17.8699852
Tułowice,50.5954195,17.6533063
Niemodlin,50.6415925,17.6211388
Ozimek,50.6789196,18.2125227
Prudnik,50.3217212,17.5801041
Biała,50.3853609,17.6599107
Głogówek,50.3534373,17.8619329
Leśnica,50.4285562,18.1849929
Strzelce Opolskie,50.5109033,18.3004547
Ujazd,51.5980362,19.9218143
